('245,122,000.00', '198,270,000.00', '261,802,000.00', '211,915,000.00', '168,088,000.00')
         771816 function calls (747944 primitive calls) in 3.879 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      455    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
      693    0.001    0.000    0.001    0.000 sre_compile.py:265(_compile_charset)
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
      307    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      426    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      261    0.001    0.000    0.001    0.000 _state.py:318(_fire_state_triggered_transitions)
      257    0.001    0.000    1.202    0.005 _models.py:935(iter_raw)
     4261    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     7449    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       67    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     8890    0.001    0.000    0.001    0.000 typing.py:1737(cast)
     2396    0.001    0.000    0.001    0.000 typing.py:935(_is_dunder)
      195    0.001    0.000    0.006    0.000 sre_compile.py:560(_compile_info)
      195    0.001    0.000    0.087    0.000 sre_compile.py:783(compile)
     1014    0.001    0.000    0.001    0.000 sre_parse.py:296(_class_escape)
     2709    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     2709    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      863    0.001    0.000    0.002    0.000 contextlib.py:279(helper)
       24    0.001    0.000    0.008    0.000 dataclasses.py:881(_process_class)
      307    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      297    0.001    0.000    2.223    0.007 ssl.py:1150(read)
      213    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      302    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
      590    0.001    0.000    0.001    0.000 enum.py:470(__setattr__)
      213    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
     5533    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
      297    0.001    0.000    0.001    0.000 _receivebuffer.py:53(__iadd__)
      552    0.001    0.000    0.001    0.000 _receivebuffer.py:77(maybe_extract_at_most)
        1    0.001    0.001    0.001    0.001 _connection.py:341(trailing_data)
      257    0.001    0.000    1.210    0.005 _models.py:884(iter_bytes)
    213/6    0.001    0.000    1.136    0.189 <frozen importlib._bootstrap_external>:877(exec_module)
      863    0.001    0.000    0.001    0.000 contextlib.py:130(__enter__)
    52/14    0.001    0.000    0.010    0.001 css_parser.py:911(parse_selectors)
      767    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
      297    0.001    0.000    0.001    0.000 _connection.py:352(receive_data)
     2767    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      446    0.001    0.000    0.002    0.000 filter.py:612(_attribute_match)
      257    0.000    0.000    0.000    0.000 _events.py:299(__init__)
     2559    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
     7624    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      297    0.000    0.000    2.223    0.007 ssl.py:1281(recv)
      195    0.000    0.000    0.055    0.000 sre_parse.py:944(parse)
       28    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
      639    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1373    0.000    0.000    0.000    0.000 _connection.py:212(their_state)
     2857    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     2708    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
      299    0.000    0.000    0.000    0.000 _receivebuffer.py:67(_extract)
      243    0.000    0.000    0.001    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
     2481    0.000    0.000    0.001    0.000 css_parser.py:307(match)
      559    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      329    0.000    0.000    0.242    0.001 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      752    0.000    0.000    0.001    0.000 sre_parse.py:433(_uniq)
       12    0.000    0.000    0.001    0.000 __init__.py:328(namedtuple)
     1032    0.000    0.000    0.001    0.000 sre_parse.py:169(__setitem__)
