('245,122,000.00', '198,270,000.00', '261,802,000.00', '211,915,000.00', '168,088,000.00')
         766505 function calls (742673 primitive calls) in 2.639 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  546/339    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
      537    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      533    0.000    0.000    0.000    0.000 element.py:2160(get)
      533    0.001    0.000    0.003    0.000 typing.py:146(_type_check)
  530/529    0.001    0.000    0.002    0.000 _readers.py:157(__call__)
      507    0.000    0.000    0.000    0.000 _decoders.py:237(decode)
      479    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      479    0.004    0.000    0.394    0.001 <frozen importlib._bootstrap_external>:1536(find_spec)
      472    0.001    0.000    0.002    0.000 css_types.py:41(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      455    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      455    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      455    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
      454    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      446    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      446    0.000    0.000    0.002    0.000 filter.py:612(_attribute_match)
      441    0.000    0.000    0.000    0.000 typing_extensions.py:154(_should_collect_from_parameters)
      441    0.000    0.000    0.000    0.000 typing_extensions.py:2976(_is_unpacked_typevartuple)
      441    0.000    0.000    0.000    0.000 typing.py:1902(get_origin)
      437    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      435    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:391(cached)
      426    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      426    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      421    0.000    0.000    0.000    0.000 sre_parse.py:259(getwhile)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      390    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      390    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      382    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      360    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
      345    0.000    0.000    0.001    0.000 typing.py:515(<genexpr>)
      336    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
      329    0.000    0.000    0.220    0.001 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
      319    0.001    0.000    0.087    0.000 re.py:288(_compile)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
      310    0.000    0.000    0.087    0.000 re.py:249(compile)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
