('245,122,000.00', '198,270,000.00', '261,802,000.00', '211,915,000.00', '168,088,000.00')
         754775 function calls (730800 primitive calls) in 7.474 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2709    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     9180    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
       17    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
    165/1    0.001    0.000    7.474    7.474 {built-in method builtins.exec}
      804    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
      270    0.001    0.000    0.001    0.000 sre_compile.py:437(<listcomp>)
      838    0.001    0.000    0.375    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      173    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      384    0.001    0.000    0.001    0.000 enum.py:470(__setattr__)
     4247    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     2709    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      943    0.001    0.000    0.001    0.000 sre_parse.py:433(_uniq)
     6605    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    52/14    0.001    0.000    0.010    0.001 css_parser.py:911(parse_selectors)
     5533    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     3715    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     1031    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      446    0.001    0.000    0.002    0.000 filter.py:612(_attribute_match)
      255    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      943    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     3761    0.000    0.000    0.004    0.000 {built-in method builtins.next}
     1363    0.000    0.000    0.001    0.000 sre_parse.py:169(__setitem__)
      255    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      328    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       18    0.000    0.000    1.770    0.098 __init__.py:1(<module>)
     2065    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      191    0.000    0.000    0.063    0.000 sre_parse.py:944(parse)
      164    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
     2559    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
    164/4    0.000    0.000    0.854    0.213 <frozen importlib._bootstrap_external>:877(exec_module)
     1005    0.000    0.000    0.001    0.000 sre_compile.py:447(_simple)
     2708    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
      135    0.000    0.000    0.003    0.000 typing.py:1016(__init__)
     2481    0.000    0.000    0.001    0.000 css_parser.py:307(match)
      300    0.000    0.000    1.121    0.004 socket.py:691(readinto)
      270    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 calendar.py:150(Calendar)
     2601    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      300    0.000    0.000    1.120    0.004 ssl.py:1292(recv_into)
     1848    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
     1418    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
     1130    0.000    0.000    0.001    0.000 typing.py:935(_is_dunder)
     4461    0.000    0.000    0.000    0.000 element.py:2219(__bool__)
       77    0.000    0.000    0.003    0.000 css_parser.py:462(parse_attribute_selector)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      490    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      796    0.000    0.000    0.001    0.000 filter.py:623(_match_attribute_value_helper)
      412    0.000    0.000    0.001    0.000 sre_parse.py:259(getwhile)
      608    0.000    0.000    0.003    0.000 enum.py:359(__call__)
      492    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      244    0.000    0.000    0.150    0.001 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       10    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
      300    0.000    0.000    1.119    0.004 ssl.py:1150(read)
        1    0.000    0.000    0.024    0.024 packages.py:1(<module>)
      191    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
  190/186    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      416    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
        3    0.000    0.000    0.000    0.000 socket.py:220(__init__)
      191    0.000    0.000    0.001    0.000 enum.py:986(__and__)
       71    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
     2825    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        3    0.000    0.000    0.041    0.014 utils.py:1(<module>)
      173    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
     1402    0.000    0.000    0.001    0.000 filter.py:292(matches_string)
  213/177    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
      191    0.000    0.000    0.037    0.000 sre_compile.py:622(_code)
        1    0.000    0.000    6.611    6.611 financial.py:6(get_financial_data)
      191    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
       57    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      598    0.000    0.000    0.001    0.000 enum.py:678(__new__)
      322    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
       19    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
     2772    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       77    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
    67/36    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      337    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      173    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
     2523    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       61    0.000    0.000    0.003    0.000 typing.py:483(Union)
       60    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      120    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
       53    0.000    0.000    0.002    0.000 typing.py:1138(__getitem__)
      321    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      656    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      192    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       83    0.000    0.000    0.001    0.000 typing_extensions.py:2989(_collect_type_vars)
  735/678    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      194    0.000    0.000    0.307    0.002 <frozen importlib._bootstrap_external>:1431(find_spec)
      599    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
        1    0.000    0.000    0.002    0.002 typing_extensions.py:1(<module>)
      164    0.000    0.000    0.098    0.001 <frozen importlib._bootstrap_external>:1089(path_stats)
    243/4    0.000    0.000    0.845    0.211 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
      211    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      176    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
        1    0.000    0.000    6.611    6.611 financial.py:36(main)
      214    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
     1067    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      741    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
  165/164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
      798    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      321    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      139    0.000    0.000    0.001    0.000 typing.py:947(__init__)
        1    0.000    0.000    0.013    0.013 ssl.py:1(<module>)
       83    0.000    0.000    0.000    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
      599    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      227    0.000    0.000    0.139    0.001 <frozen importlib._bootstrap_external>:159(_path_isfile)
       39    0.000    0.000    0.273    0.007 response.py:1173(read_chunked)
      431    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      533    0.000    0.000    0.000    0.000 element.py:2160(get)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       13    0.000    0.000    0.000    0.000 typing.py:801(__init__)
     1423    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
      300    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      191    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      292    0.000    0.000    0.000    0.000 types.py:176(__get__)
       38    0.000    0.000    0.007    0.000 response.py:469(_decode)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      382    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
        3    0.000    0.000    0.136    0.045 exceptions.py:1(<module>)
       61    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
      120    0.000    0.000    0.001    0.000 _htmlparser.py:285(handle_comment)
        1    0.000    0.000    0.000    0.000 ssl.py:1360(_real_close)
      214    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
       17    0.000    0.000    0.019    0.001 <frozen importlib._bootstrap_external>:1587(_fill_cache)
       99    0.000    0.000    0.001    0.000 enum.py:980(__or__)
        1    0.000    0.000    0.000    0.000 {built-in method today}
       18    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       73    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
      303    0.000    0.000    0.103    0.000 re.py:249(compile)
      321    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      446    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
     1067    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        9    0.000    0.000    0.000    0.000 url.py:330(_idna_encode)
    73/39    0.000    0.000    0.303    0.008 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 queue.py:28(Queue)
       48    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
       54    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
